partecipant,match_id,datetime,group,stato_avanzamento_torneo,match_day,lock_timestamp,home_team,away_team,home_score,away_score,real_scorers,real_autogol_squadra_1,real_autogol_squadra_2,pred_home_score,pred_away_score,pred_result,pred_scorer,pred_autogol_squadra_1,pred_autogol_squadra_2,exact_score_points,result_1x2_points,scorer_points,own_goal_points,total_points
Alessandro,86,2026-07-03 20:00,KOUT,Knock Out,R32,2026-06-28 21:00:00,Australia,Egypt,1,1,EMAM ASHOUR,False,True,1,2,2,MOHAMED SALAH,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,87,2026-07-04 00:00,KOUT,Knock Out,R32,2026-06-28 21:00:00,Argentina,Cabo Verde,1,1,MESSI Lionel;DEROY DUARTE,False,False,4,0,1,MESSI Lionel,False,False,0.0,0.0,3.5,0.0,3.5
Alessandro,88,2026-07-04 03:30,KOUT,Knock Out,R32,2026-06-28 21:00:00,Colombia,Ghana,1,0,ARIAS Jhon,False,False,2,1,1,DIAZ Luis,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,0,JIMENEZ Raul;QUINONES Julian,False,False,2,0,1,JIMENEZ Raul,False,False,5.0,2.0,3.5,0.0,10.5
Andrea,2,2026-06-12 04:00,A,Group Stage,1,2026-06-11 21:00:00,South Korea,Czechia,2,1,KREJCI Ladislav;HWANG Inbeom;OH Hyeongyu,False,False,1,2,2,SCHICK Patrik,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,3,2026-06-12 21:00,B,Group Stage,1,2026-06-11 21:00:00,Canada,Bosnia and Herzegovina,1,1,LARIN Cyle;LUKIC Jovo,False,False,1,1,X,DZEKO Edin,False,False,5.0,2.0,0.0,0.0,7.0
Andrea,4,2026-06-13 03:00,D,Group Stage,1,2026-06-11 21:00:00,USA,Paraguay,4,1,BALOGUN Folarin;REYNA Giovanni;MAURICIO,False,True,2,0,1,McKENNIE Weston,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,5,2026-06-13 21:00,B,Group Stage,1,2026-06-11 21:00:00,Qatar,Switzerland,1,1,BOUALEM KHOUKHI;EMBOLO Breel,False,False,0,2,2,NDOYE Dan,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,6,2026-06-14 00:00,C,Group Stage,1,2026-06-11 21:00:00,Brazil,Morocco,1,1,VINICIUS JUNIOR;SAIBARI Ismael,False,False,2,1,1,MATHEUS CUNHA,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,7,2026-06-14 03:00,C,Group Stage,1,2026-06-11 21:00:00,Haiti,Scotland,0,1,McGINN John,False,False,0,3,2,McTOMINAY Scott,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,8,2026-06-14 06:00,D,Group Stage,1,2026-06-11 21:00:00,Australia,Türkiye,2,0,IRANKUNDA Nestory;METCALFE Connor,False,False,1,3,2,CALHANOGLU Hakan,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,9,2026-06-14 19:00,E,Group Stage,1,2026-06-11 21:00:00,Germany,Curaçao,7,1,BROWN Nathaniel;HAVERTZ Kai;MUSIALA Jamal;NMECHA Felix;SCHLOTTERBECK Nico;UNDAV Deniz;COMENENCIA Livano,False,False,6,0,1,MUSIALA Jamal,False,False,0.0,2.0,3.5,0.0,5.5
Andrea,10,2026-06-14 22:00,F,Group Stage,1,2026-06-11 21:00:00,Netherlands,Japan,2,2,SUMMERVILLE Crysencio;VAN DIJK Virgil;KAMADA Daichi;NAKAMURA Keito,False,False,2,0,1,MALEN Donyell,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,11,2026-06-15 01:00,E,Group Stage,1,2026-06-11 21:00:00,Côte d'Ivoire,Ecuador,1,0,DIALLO Amad,False,False,1,1,X,DIALLO Amad,False,False,0.0,0.0,3.5,0.0,3.5
Andrea,12,2026-06-15 04:00,F,Group Stage,1,2026-06-11 21:00:00,Sweden,Tunisia,5,1,AYARI Yasin;GYOKERES Viktor;ISAK Alexander;SVANBERG Mattias;REKIK Omar,False,False,1,0,1,GYOKERES Viktor,False,False,0.0,2.0,3.5,0.0,5.5
Andrea,13,2026-06-15 18:00,H,Group Stage,1,2026-06-11 21:00:00,Spain,Cabo Verde,0,0,,False,False,5,0,1,YAMAL Lamine,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,14,2026-06-15 21:00,G,Group Stage,1,2026-06-11 21:00:00,Belgium,Egypt,1,1,EMAM ASHOUR,False,True,2,2,X,OMAR MARMOUSH,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,15,2026-06-16 00:00,H,Group Stage,1,2026-06-11 21:00:00,Saudi Arabia,Uruguay,1,1,ABDULELAH ALAMRI;ARAUJO Maxi,False,False,0,3,2,NUNEZ Darwin,False,False,0.0,0.0,0.0,0.0,0.0
